9.95	9.96	9.97	9.98	10.00	10.02	10.04	10.07	10.10	10.13	10.17	10.20	10.23	10.25	10.26	10.26	10.25	10.23	10.20	10.17	10.13	10.10	10.07	10.04	10.02	10.00	9.98	9.97	9.96	9.95
9.94	9.94	9.95	9.96	9.98	10.00	10.03	10.06	10.10	10.15	10.20	10.24	10.28	10.31	10.32	10.32	10.31	10.28	10.24	10.20	10.15	10.10	10.06	10.03	10.00	9.98	9.96	9.95	9.94	9.94
9.92	9.92	9.93	9.94	9.96	9.98	10.01	10.05	10.10	10.16	10.22	10.29	10.34	10.39	10.41	10.41	10.39	10.34	10.29	10.22	10.16	10.10	10.05	10.01	9.98	9.96	9.94	9.93	9.92	9.92
9.89	9.89	9.90	9.91	9.92	9.95	9.98	10.03	10.10	10.17	10.26	10.35	10.43	10.49	10.52	10.52	10.49	10.43	10.35	10.26	10.17	10.10	10.03	9.98	9.95	9.92	9.91	9.90	9.89	9.89
9.86	9.86	9.86	9.86	9.88	9.90	9.94	9.99	10.07	10.17	10.29	10.42	10.54	10.63	10.69	10.69	10.63	10.54	10.42	10.29	10.17	10.07	9.99	9.94	9.90	9.88	9.86	9.86	9.86	9.86
9.83	9.82	9.81	9.81	9.82	9.83	9.87	9.93	10.02	10.15	10.31	10.50	10.68	10.84	10.93	10.93	10.84	10.68	10.50	10.31	10.15	10.02	9.93	9.87	9.83	9.82	9.81	9.81	9.82	9.83
9.79	9.77	9.76	9.74	9.74	9.74	9.77	9.83	9.93	10.09	10.31	10.58	10.88	11.14	11.29	11.29	11.14	10.88	10.58	10.31	10.09	9.93	9.83	9.77	9.74	9.74	9.74	9.76	9.77	9.79
9.75	9.72	9.69	9.66	9.63	9.62	9.62	9.66	9.76	9.95	10.25	10.66	11.14	11.59	11.87	11.87	11.59	11.14	10.66	10.25	9.95	9.76	9.66	9.62	9.62	9.63	9.66	9.69	9.72	9.75
9.70	9.66	9.61	9.56	9.50	9.45	9.41	9.41	9.48	9.67	10.05	10.65	11.46	12.30	12.85	12.85	12.30	11.46	10.65	10.05	9.67	9.48	9.41	9.41	9.45	9.50	9.56	9.61	9.66	9.70
9.65	9.59	9.52	9.44	9.35	9.24	9.14	9.05	9.03	9.15	9.55	10.39	11.77	13.44	14.65	14.65	13.44	11.77	10.39	9.55	9.15	9.03	9.05	9.14	9.24	9.35	9.44	9.52	9.59	9.65
