0,u,v,w
-20_-11_10',0.065061997058336,0.141364479739327,0.0948721007372495
-20_-11_11',0.0877394522695426,0.172155442254086,0.106783223516159
-20_-11_12',0.135761456229056,0.196158908407782,0.112242741880467
-20_-11_13',0.183761255104505,0.351342292552116,0.203759875950663
-20_-11_14',0.232335645645475,0.36152051731195,0.182488641009515
-20_-10_-15',0.0656709378011308,0.152146666082435,0.218954062323584
-20_-10_-14',0.0878697108799323,0.152400602795272,0.180349766482711
-20_-10_-13',0.0786254676676783,0.142846806891979,0.179933146492006
-20_-10_-12',0.0387176831792066,0.11627559511918,0.105534591630763
-20_-10_-11',0.0435838064872052,0.106688904706256,0.101536875267505
-20_-10_-10',0.0463783201890836,0.0916521982749754,0.0860137296791136
-20_-10_-9',0.0360122759865581,0.0675619606320882,0.0561401157189398
-20_-10_-8',0.0287660920931614,0.0575560361293398,0.0442073851690822
-20_-10_-7',0.0334277341952275,0.0485227325402473,0.0369219680962008
-20_-10_-6',0.0241248545423592,0.0404848891820248,0.036612491594895
-20_-10_-5',0.0288886374094212,0.0434222620823829,0.0331085622671704
-20_-10_-4',0.0250167989866859,0.0419715861153849,0.0322710105311609
-20_-10_-3',0.0265016934866561,0.0425859373055534,0.032654295342558
-20_-10_-2',0.0315445732597452,0.0396535627650275,0.0301770315971942
-20_-10_-1',0.0328117269989699,0.0421723499036161,0.0339144806327721
-20_-10_0',0.0368470324666993,0.0388010755776096,0.0324939548923879
-20_-10_1',0.0405553868463956,0.0374463049139213,0.030040031062379
-20_-10_2',0.0423558781782531,0.0393561643763765,0.0327310169667806
-20_-10_3',0.0492470883253382,0.0410937501015506,0.0325151481178343
-20_-10_4',0.052689883149929,0.0424193336328592,0.033883933483944
-20_-10_5',0.0580170397550789,0.0459266712736723,0.0401928894152078
-20_-10_6',0.0671908414222421,0.0547832330182139,0.040865080532054
-20_-10_7',0.0846819633011732,0.0652820050416637,0.0546753928309042
-20_-10_8',0.106553198109665,0.0778162811166954,0.0666776426694996
-20_-10_9',0.0990130636208326,0.100892128144621,0.073569172624863
-20_-10_10',0.142116074067969,0.203714813696208,0.143925413697163
-20_-10_11',0.154565130936594,0.208634393279178,0.187497595883877
-20_-10_12',0.14822670636562,0.319927733589946,0.19788233554312
-20_-10_13',0.168621665388085,0.2549085254656,0.159555584355211
-20_-10_14',0.205755511094125,0.342439877932056,0.16131990450936
-20_-9_-15',0.0791806557346318,0.140118691966771,0.180014994278111
-20_-9_-14',0.0835003691206129,0.144781737594974,0.174461457447114
-20_-9_-13',0.0539668871416084,0.140605121537051,0.141443547466825
-20_-9_-12',0.040990503080237,0.117224444305901,0.101844106941891
